,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Verified Standard ID - City/Town ID,Property Name,Address 1,City,County,State/Province,Postal Code,Year Built,Applicability,Applicability Details,Property Type ,Property GFA - Calculated (Buildings) (ft²),Estimated GFA (ft²),Latitude,Longitude
100592,2655 Melksee St,2655 Melksee St,San Diego,San Diego,CA,92154-2685,2000,Subject to Ordinance,,Distribution Center,66243,66243,32.55164,-116.95677
100593,2667 Camino Del Rio S,2667 Camino Del Rio S,San Diego,San Diego,CA,92108-3707,1980,Subject to Ordinance,,Office,70000,70000,32.76905,-117.13549
100594,2727 Kurtz St,2727 Kurtz St,San Diego,San Diego,CA,92110-3109,1978,Subject to Ordinance,,Refrigerated Warehouse,83469,83469,32.74994,-117.20128
100595,2735 Cactus Rd,2735 Cactus Rd,San Diego,San Diego,CA,92154-8024,2000,Subject to Ordinance,,Distribution Center,71393,74448,32.54816,-116.98726
100596,2815 Camino Del Rio S,2815 Camino Del Rio S,San Diego,San Diego,CA,92108-3815,1982/2023,Subject to Ordinance,,Multifamily Residence,69850,69850,32.76869,-117.13387
100597,2828 Meadow Lark Dr,2828 Meadow Lark Dr,San Diego,San Diego,CA,92123-2710,1955,Subject to Ordinance,,Multifamily Residence,82110,82110,32.79399,-117.1548
100598,2861 Womble Rd,2861 Womble Rd,San Diego,San Diego,CA,92106-6025,1980,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",K-12 School,38996,70702,32.73517,-117.2172
100599,2878 Camino Del Rio S,2878 Camino Del Rio S,San Diego,San Diego,CA,92108-3872,1989,Subject to Ordinance,,Office,80217,80217,32.77104,-117.13215
100601,300 Fir St,300 Fir St,San Diego,San Diego,CA,92101,2012,Subject to Ordinance,,Medical Office,66009,66365,32.72533,-117.16179
100602,3010 Science Park,3010 Science Park,San DIego,San Diego,CA,92121-1102,2000,Subject to Ordinance,,Laboratory,74557,74557,32.90297,-117.24056
100603,Callan Ridge Campus,3020-3030 Callan Rd,San Diego,San Diego,CA,92121-1109,1984/1999,Subject to Ordinance,,Office,91000,91000,32.90703,-117.24003
100604,3030 Science Park,3030 Science Park Rd,San Diego,San Diego,CA,92121,1986,Subject to Ordinance,,Office,77830,77830,32.90288,-117.23978
100605,3167 5th Ave,3167 5th Ave,San Diego,San Diego,CA,92103-5838,1926,Subject to Ordinance,,Hotel,77523,77523,32.73851,-117.15998
100606,3204-3368 Governor Dr,3204-3368 Governor Dr,San Diego,San Diego,CA,92122-2902,1963/1981,Subject to Ordinance,,Retail,96850,96850,32.85176,-117.21615
100607,325 W F St,325 W F St,San Diego,San Diego,CA,92101,1913/1995,Subject to Ordinance,,Specialty,73179,73179,32.71329,-117.16609
100608,11359-College Grove,3450 College Ave,San Diego,San Diego,CA,92115,2009,Subject to Ordinance,,Retail Store,74335,84042,32.74398,-117.05355
100609,Ralphs Fresh Fare,3455 Del Mar Heights Rd.,San Diego,San Diego,CA,92130,1988,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Supermarket/Grocery Store,46637,91906,32.95294,-117.23181
100610,Sorrento Valley,3483 Dunhill St,San Diego,San Diego,CA,92121,1980,Subject to Ordinance,,Warehouse,142261,72490,32.90257,-117.22872
100611,3506-3580 National Ave,3506-3580 National Ave,San Diego,San Diego,CA,92113-3114,1965,Subject to Ordinance,,Retail,70854,70854,32.69697,-117.11833
100612,3535 General Atomics Ct,3535 General Atomics Ct,San Diego,San Diego,CA,92121-1140,1985,Subject to Ordinance,,Other,76084,76084,32.89352,-117.23872
100613,3545 Aero Ct,3545 Aero Ct,San Diego,San Diego,CA,92123-5700,1986,Subject to Ordinance,,Flex,73672,73672,32.80678,-117.14782
100614,BMR-3545-3575 John Hopkins LP,3545 John Hopkins Ct,San Diego,San Diego,CA,92121,1991,Subject to Ordinance,,Office,72192,72192,32.89155,-117.23784
100615,3580 Carmel Mountain,3580 Carmel Mountain Rd,San Diego,San Diego,CA,92130,2008,Subject to Ordinance,,Office,103502,97826,32.91943,-117.23436
100616,3595 John Hopkins Ct,3595 John Hopkins Ct,San Diego,San Diego,CA,92121-1121,2000,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,82500,82500,32.89168,-117.23686
101325,Pacific Technology Park II,9393 Waples St,San Diego,San Diego,CA,92121,1989,Subject to Ordinance,,Distribution Center,115986,115986,32.90007,-117.18435
100618,3805 Murphy Canyon Rd,3805 Murphy Canyon Rd,San Diego,San Diego,CA,92123-4404,1989/2016,Subject to Ordinance,,Hotel,89427,89427,32.8121,-117.11578
100619,3838 Camino Del Rio North,3838 Camino Del Rio N,San Diego,San Diego,CA,92108,1980,Subject to Ordinance,,Office,94612,94612,32.78005,-117.11538
100620,CA9971 - CALIFORNIA SVC CENTER,3840 MURPHY CANYON RD,San Diego,San Diego,CA,92123,1996,Subject to Ordinance,,Office,91146,88000,32.81268,-117.11682
100621,Pastoral Center,3888 Paducah Dr,San Diego,San Diego,CA,92117-5349,1962,Subject to Ordinance,,Religious Facility,84159,84159,32.81207,-117.21357
100622,3900-3902 Old Town Ave,3900-3902 Old Town Ave,San Diego,San Diego,CA,92110-2904,1982/2012,Subject to Ordinance,,Hotel,69272,69272,32.74917,-117.1927
100623,3910 University Ave,3910 University Ave,San Diego,San Diego,CA,92105-7302,2004,Subject to Ordinance,,Office,82236,82236,32.75004,-117.11023
100624,3914 Murphy Canyon Rd,"3914 Murphy Canyon Rd, Bldg A",San Diego,San Diego,CA,92123-4491,1988,Subject to Ordinance,,Office,74478,76118,32.81544,-117.11779
100625,3944-3960 W Point Loma Blvd,3944-3960 W Point Loma Blvd,San Diego,San Diego,CA,92110-5642,1981/2013,Subject to Ordinance,,Retail Store,88302,67950,32.75556,-117.22194
100626,3951 Camino de la Plaza,3951 Camino de la Plaza,San Diego,San Diego,CA,92173,1980,Subject to Ordinance,,Enclosed Mall,98032,98123,32.54346,-117.04604
100627,3953 Imperial Ave,3953 Imperial Ave,San Diego,San Diego,CA,92113,,Subject to Ordinance,,Funeral Home,79756,79756,32.70383,-117.10878
100629,3980 Sherman St,3980 Sherman St,San Diego,San Diego,CA,92110-4324,1983,Subject to Ordinance,,Office,73744,73774,32.75699,-117.20693
100631,404 Euclid Ave,404 Euclid Ave,San Diego,San Diego,CA,92114,2009,Subject to Ordinance,,Office,75000,75000,32.70897,-117.08782
100632,Mercy Medical Building,4060 4th Avenue,San Diego,San Diego,CA,92103,1979,Subject to Ordinance,,Medical Office,91137,86131,32.75118,-117.16196
100633,411 Hotel Cir S,411 Hotel Cir S,San Diego,San Diego,CA,92108,1967,Subject to Ordinance,,Hotel,94973,94973,32.75982,-117.16501
101327,Pacific Technology Park III,"9401 Waples St, Pacific Technology Park III",San Diego,San Diego,CA,92121,1989,Subject to Ordinance,,Distribution Center,132059,132059,32.9007,-117.18481
100635,4126 Executive Dr,4126 Executive Dr,La Jolla,San Diego,CA,92037,,Subject to Ordinance,,Health Club,71097,71097,32.87571,-117.21572
100637,4155 Camino de la Plaza,4155 Camino de la Plaza,San Diego,San Diego,CA,92173,2005,Subject to Ordinance,,Retail,68575,68575,32.54366,-117.04343
100638,4180 La Jolla Village Dr,4180 La Jolla Village Dr,La Jolla,San Diego,CA,92037-1402,1985,Subject to Ordinance,,Medical Office,98523,94162,32.87246,-117.21678
102587,9401 Waples St,9401 Waples St,San Diego,San Diego,CA ,92121,1989,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Manufacturing/Industrial Plant,34951,34951,,
100437,10421 Pacific Center Ct,10421 Pacific Center Ct,San Diego,San Diego,CA,92121-4339,1994,Subject to Ordinance,,Laboratory,75899,75899,32.90675,-117.188
100641,4275 Campus Point Ct,4275 Campus Point Ct,San Diego,San Diego,CA,92121-1513,1981,Subject to Ordinance,,Office,92663,95000,32.88706,-117.22391
100642,4282 Balboa Ave,4282 Balboa Ave,San Diego,San Diego,CA,92117-5544,1991,Subject to Ordinance,,Assisted Living,68225,68225,32.81261,-117.19874
100644,4320 Westerra Ct,4320 Westerra Ct,San Diego,San Diego,CA,92121,,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Manufacturing/ Industrial/ Lab,72003,72003,32.8841,-117.21668
100645,4330 Camino De La Plz,4330 Camino De La Plz,San Ysidro,San Diego,CA,92173-3024,1981,Subject to Ordinance,,Retail,98194,98194,32.54675,-117.0404
102577,Sterling City Science North Portfolio_2,10421-10445 Pacific Center Ct,San Diego,San Diego,CA ,92121,1994,Subject to Ordinance,,Laboratory,124608,,,-117.188173
100647,Park Plaza,4350 Executive Dr,San Diego,San Diego,CA,92121,1984,Subject to Ordinance,,Office,74875,73060,32.87573,-117.21216
100648,4370 Jutland Dr,4370 Jutland Dr,San Diego,San Diego,CA,92117-3642,1966/2011,Subject to Ordinance,,Manufacturing,72716,72716,32.82596,-117.22659
100650,4401 Eastgate,4401 Eastgate Mall,San Diego,San Diego,CA,92121,2001,Subject to Ordinance,,Office,93171,89309,32.87717,-117.21063
100651,City Heights Center,4421 University Ave,San Diego,San Diego,CA,92105,1988,Subject to Ordinance,,Supermarket/Grocery Store,77009,66284,32.74864,-117.0992
100652,4435 Eastgate,4435 Eastgate Mall,San Diego,San Diego,CA,92121,2001,Subject to Ordinance,,Office,97031,91393,32.87778,-117.21105
100435,10390 Pacific Center Ct,10390 Pacific Center Ct,San Diego,San Diego,CA,92121-4340,1985,Subject to Ordinance,,Laboratory,68536,68536,32.90607,-117.18943
100655,4511 Riviera Shores St,4511 Riviera Shores St,San Diego,San Diego,CA,92154,2022,Subject to Ordinance,,Self-Storage Facility,87534,91449,32.57291,-117.03821
100656,4520 Executive Dr,4520 Executive Dr,San Diego,San Diego,CA,92121-3018,1988,Subject to Ordinance,,Medical Office,72484,72484,32.87645,-117.21039
102576,Sterling City Science North Portfolio_1,"10390, 10394, 10398 Pacific Center Ct",San Diego,San Diego,CA ,92121,1985,Subject to Ordinance,,Laboratory,189951,,32.896581,
100658,Saint-Gobain Solar Gard,4540 Viewridge Ave,San Diego,San Diego,CA,92123-1637,1987,Subject to Ordinance,,Manufacturing/ Industrial/ Lab,72207,72862,32.82439,-117.12602
100292,6175 Lusk Blvd,6175 Lusk Blvd,San Diego,San Diego,CA,92121-2729,1987,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,56799,56799,32.8993,-117.19484
100660,BMR-Towne Centre CtLP 4550,4550 Towne Centre Ct,San Diego,San Diego,CA,92121,1997,Subject to Ordinance,,Office,78470,83008,32.88479,-117.21258
100661,4560 Viewridge Ave,4560 Viewridge Ave,San Diego,San Diego,CA,92123,1996,Subject to Ordinance,,Office,106091,93177,32.82462,-117.12365
100662,4627-4853 Carmel Mountain Rd,4627-4853 Carmel Mountain Rd,San Diego,San Diego,CA,92130,2000,Subject to Ordinance,,Strip Mall,85834,85834,32.9204,-117.2151
100663,A-1 Self Storage #240,4688 Alvarado Canyon Rd,San Diego,San Diego,CA,92120,1988,Subject to Ordinance,,Non-Refrigerated Warehouse,97975,70218,32.78178,-117.09333
100664,4723-4735 Clairemont Dr,4723-4735 Clairemont Dr,San Diego,San Diego,CA,92117-2704,1954,Subject to Ordinance,,Strip Mall,67810,67810,32.83025,-117.20508
100665,4757 Nexus Centre Dr,4757 Nexus Centre Dr,San Diego,San Diego,CA,92121,1989,Subject to Ordinance,,Office,68423,69673,32.87811,-117.2026
100666,4767 Nexus Centre Dr,4767 Nexus Centre Dr,San Diego,San Diego,CA,92121,2000, Subject to Ordinance,,Mixed Use Property,65280,65280,32.87756,-117.20166
100293,6195 Lusk Blvd,6195 Lusk Blvd,San Diego,San Diego,CA,92121-3723,1987/1997,Subject to Ordinance,,Office,50470,50470,32.89897,-117.19497
100868,9975 Summers Ridge Rd,9975 Summers Ridge Rd,San Diego,San Diego,CA,92121,2006,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,81898,81898,32.89713,-117.17172
100669,4810 Eastgate,4810 Eastgate Mall,San Diego,San Diego,CA,92121,2000,Subject to Ordinance,,Office,90000,94543,32.88199,-117.20584
100670,4821-4839 Clairemont Dr,4821-4839 Clairemont Dr,San Diego,San Diego,CA,92117,1954,Subject to Ordinance,,Strip Mall,66121,66121,32.83198,-117.20454
100671,4825-4857 College Ave,4825-4857 College Ave,San Diego,San Diego,CA,92115,,Subject to Ordinance,,Senior Housing,68034,68034,32.76552,-117.06656
100672,4830 Eastgate,4830 Eastgate Mall,San Diego,San Diego,CA,92121,2006,Subject to Ordinance,,Office,90000,93744,32.88234,-117.20457
100673,4830 Ruffin Rd,4830 Ruffin Rd,San Diego,San Diego,CA,92123,2005,Subject to Ordinance,,Office,66495,66495,32.82612,-117.12803
100674,4863 Shawline St,4863 Shawline St,San Diego,San Diego,CA,92111-1435,2000,Subject to Ordinance,,Distribution Center,97276,96648,32.82986,-117.16302
100675,4951 Ruffin Rd,4951 Ruffin Rd,San Diego,San Diego,CA,92123-1615,1981,Subject to Ordinance,,Warehouse,90352,90352,32.82602,-117.12449
100676,4953 Paramount Dr,4953 Paramount Dr,San Diego,San Diego,CA,92123,2001,Subject to Ordinance,,Distribution Center,75896,75896,32.82827,-117.13444
100677,4955 Directors Pl,4955 Directors Pl,San Diego,San Diego,CA,92121-3829,2001,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,76687,76687,32.89344,-117.20757
100678,500 W BRdway,500 W BRdway,San Diego,San Diego,CA,92101-3506,1924,Subject to Ordinance,,Hotel,84000,84000,32.71607,-117.16784
100680,505 Coast Blvd S,505 Coast Blvd S,La Jolla,San Diego,CA,92037-4616,1962,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Research Center,81892,81892,32.84318,-117.27938
100681,5105-5185 Waring Rd,5105-5185 Waring Rd,San Diego,San Diego,CA,92120-2705,1956,Subject to Ordinance,,Storefront Retail/Office,100000,100000,32.79139,-117.08055
100682,Cox Communications California,5159 Federal Blvd,San Diego,San Diego,CA,92105-5428,1982,Subject to Ordinance,,Mixed Use Property,112810,94000,32.72045,-117.08262
100683,20480-Mission Bay,5175 Pacific Highway,San Diego,San Diego,CA,92110,1995,Subject to Ordinance,,Self-Storage Facility,106564,92715,32.76789,-117.20493
100869,9985 Summers Ridge Rd,9985 Summers Ridge Rd,San Diego,San Diego,CA,92121,2006,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,92570,92570,32.8968,-117.17096
100685,24346-Brookdale Clairemont,5219 Clairemont Mesa Blvd,San Diego,San Diego,CA,92117,2000,Subject to Ordinance,,Senior Living Community,58815,80000,32.83398,-117.17822
100686,525 Saturn Blvd,525 Saturn Blvd,San Diego,San Diego,CA,92154,1991,Subject to Ordinance,,Retail,80000,94286,32.58696,-117.09179
100687,CA2051 - VIEWRIDGE CtI,5251 Viewridge Ct.,San Diego,San Diego,CA,92123,2011,Subject to Ordinance,,Office,72406,71000,32.82946,-117.1216
100689,5260 Anna Ave,5260 Anna Ave,San Diego,San Diego,CA,92110-4007,1968,Subject to Ordinance,,Warehouse,72220,72220,32.76331,-117.2019
100691,5360 Eastgate Mall,5360 Eastgate Mall,San Diego,San Diego,CA,92121-2812,1984,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Warehouse,34000,34000,32.88223,-117.19086
100870,9995 Summers Ridge Rd,9995 Summers Ridge Rd,San Diego,San Diego,CA,92121,2006,Subject to Ordinance,,Other,70419,70419,32.89648,-117.17209
100020,TORREY PINES CENTER NORTH,10300 North Torrey Pines Rd,San Diego,San Diego,CA,92037-1020,1979,Subject to Ordinance,,Office,65760,55000,32.89122,-117.24259
100695,5434 Kearny Mesa Rd,5434 Kearny Mesa Rd,San Diego,San Diego,CA,92111-1303,1989,Subject to Ordinance,,Hotel,71530,71530,32.8342,-117.14315
100697,11377-Balboa,5505 Balboa Ave,San Diego,San Diego,CA,92111,1980,Subject to Ordinance,,Strip Mall,207147,83061,32.81819,-117.17987
100698,5505 Morehouse Dr,5505 Morehouse Dr,San Diego,San Diego,CA,92121-1719,1990,Subject to Ordinance,,Office,71016,71016,32.89332,-117.19908
100699,Genesis Morehouse,5510 Morehouse Dr,San Diego,San Diego,CA,92121-3788,1984,Subject to Ordinance,,Laboratory,92405,92405,32.8946,-117.19904
100889,10280 N Torrey Pines Rd,10280 N Torrey Pines Rd,La Jolla,San Diego,CA,92037-1033,1986,Subject to Ordinance,,Office,152373,140000,32.89062,-117.24263
100739,7170 Miramar Rd,7170 Miramar Rd,San Diego,San Diego,CA,92121-2374,2000,Subject to Ordinance,,Non-Refrigerated Warehouse,200000,87343,32.88243,-117.1588
100702,555 W Ash St,555 W Ash St,San Diego,San Diego,CA,92101,1985/2008,Subject to Ordinance,,Hotel,80834,80834,32.71961,-117.16783
100703,555 W Beech St,555 W Beech St,San Diego,San Diego,CA,92101-2936,1983/2018,Subject to Ordinance,,Office,82634,82634,32.72066,-117.16783
100706,70300077 -- Mission Valley,5680 Mission Center Rd.,San Diego,San Diego,CA,92108,1990,Subject to Ordinance,,Strip Mall,146898,70925,32.77588,-117.15544
101429,7130 Miramar Rd,7130 Miramar Rd,San Diego,San Diego,CA,92121-2353,2000,Subject to Ordinance,,Non-Refrigerated Warehouse,200000,365421,32.88203,-117.15997
100708,5717 Pacific Center Blvd,5717 Pacific Center Blvd,San Diego,San Diego,CA,92121-4250,1987,Subject to Ordinance,,Office,67832,67832,32.90244,-117.19792
100709,Walmart Store #5938,575 Saturn Blvd,San Diego,San Diego,CA,92154,2012,Subject to Ordinance,,Retail Store,75299,75207,32.58672,-117.08941
100710,Qualcomm BC,5770 Morehouse Dr.,San Diego,San Diego,CA,92121,1982,Subject to Ordinance,,Non-Refrigerated Warehouse,141776,71370,32.89753,-117.19679
100711,U-Haul Moving & Storage of Clairmont Mesa (717037),5871 Copley Dr,San Diego,San Diego,CA,92111,2013,Subject to Ordinance,,Self-Storage Facility,127425,85742,32.84379,-117.1712
100712,"Pacific Sorrento, LLC",5880 Oberlin Dr,San Diego,San Diego,CA,92121-4750,1988,Subject to Ordinance,,Office,77309,77309,32.89551,-117.19306
100713,"SDCA-Country Inn & Suites, San Diego N.",5975 Lusk Blvd,San Diego,San Diego,CA,92121,1989,Subject to Ordinance,,Hotel,105415,92792,32.89812,-117.19249
100714,5985 Pacific Center Blvd,5985 Pacific Center Blvd,San Diego,San Diego,CA,92121-4335,1988,Subject to Ordinance,,Distribution Center,93885,93885,32.90381,-117.18743
102071,MOS01087 - 7130-7170 Miramar Rd,7130 Miramar Rd Ste 100,San Diego,San Diego,CA,92121,1998,Subject to Ordinance,,Non-Refrigerated Warehouse,452044,,32.88197,-117.16
100716,6055 Lusk Blvd,6055 Lusk Blvd,San Diego,San Diego,CA,92121,1996,Subject to Ordinance,,Office,93000,93000,32.89789,-117.19426
100717,611 E Island Ave,611 Island Ave,San Diego,San Diego,CA,92101,1930,Subject to Ordinance,,Self-Storage Facility,57196,80000,32.71014,-117.15868
100718,BMR-6122 Nancy Ridge Dr BLDG F,6122 Nancy Ridge Dr,San Diego,San Diego,CA,92121-3223,1994,Subject to Ordinance,,Other,68000,68000,32.88902,-117.18736
100719,6180 Business Center Ct,6180 Business Center Ct,San Diego,San Diego,CA,92154,2000,Subject to Ordinance,,Manufacturing,95146,95146,32.56933,-117.00201
100720,6200 Greenwich Dr,6200 Greenwich Dr,San Diego,San Diego,CA,92122-5913,2002,Subject to Ordinance,,Office,70987,70601,32.85147,-117.18189
100722,6290 Sequence Dr,6290 Sequence Dr,San Diego,San Diego,CA,92121,1997,Subject to Ordinance,,Manufacturing/Industrial Plant,90000,90000,32.90479,-117.18606
100723,631 Camino Del Rio S,631 Camino Del Rio S,San Diego,San Diego,CA,92108-3512,1988/2000,Subject to Ordinance,,Commercial,73026,73026,32.7631,-117.15922
100724,6340 Sequence Dr,6340 Sequence Dr,San Diego,San Diego,CA,92121,1998,Subject to Ordinance,,Manufacturing/Industrial Plant,66400,66400,32.90773,-117.18569
100725,6411-6535 University Ave,6411-6535 University Ave,San Diego,San Diego,CA,92115-5808,1975/1990,Subject to Ordinance,,Commercial,72478,72478,32.75474,-117.05609
100726,6501-6585 Mission Gorge Rd,6501-6585 Mission Gorge Rd,San Diego,San Diego,CA,92120-2306,1967,Subject to Ordinance,,Commercial,87889,87889,32.79136,-117.0968
100728,Gateway Warehouse,655 Gateway Center Way,San Diego,San Diego,CA,92102-4537,1996,Subject to Ordinance,,Non-Refrigerated Warehouse,86254,86254,32.71193,-117.11108
100729,6565 Miramar Rd,6565 Miramar Rd,San Diego,San Diego,CA,92121-2506,1980,Subject to Ordinance,,Commercial,81779,81779,32.87708,-117.17363
100391,BMR-Waples LP,9535 Waples St,San Diego,San Diego,CA,92121,1988,Subject to Ordinance,,Other,50055,50055,32.90277,-117.18218
100732,6755 Mira Mesa Blvd,6755 Mira Mesa Blvd,San Diego,San Diego,CA,92121-4392,1989,Subject to Ordinance,,Commercial,74868,74868,32.90594,-117.17253
100733,6795 Calle de Linea,6795 Calle de Linea,San Diego,San Diego,CA,92154-8017,2000,Subject to Ordinance,,Commercial,93745,93745,32.54677,-116.99467
100392,9540 Towne Centre,9540 Towne Centre Dr,San Diego,San Diego,CA,92121,1999,Subject to Ordinance,,Office,63412,63412,32.88204,-117.21009
100735,6910 Carroll Rd,6910 Carroll Rd,San Diego,San Diego,CA,92121,1998,Subject to Ordinance,,Office,73936,73936,32.88595,-117.17267
100398,9620 Towne Centre,9620 Towne Centre Dr,San Diego,San Diego,CA,92121,1998,Subject to Ordinance,,Office,53794,53794,32.88281,-117.21037
100737,6965 Lusk Blvd,6965 Lusk Blvd,San Diego,San Diego,CA,92121-5704,1991/2020,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Manufacturing/ Industrial/ Lab,74571,74571,32.90094,-117.20896
100738,CA2061 - CLAIREMONT MESA MEDICAL OFFICES,7060 CLAIREMONT MESA Blvd,San Diego,San Diego,CA,92111,1977,Subject to Ordinance,,Medical Office,91142,84455,32.83363,-117.16428
101159,5206 Eastgate Mall,5206  Eastgate Mall,San Diego,San Diego,CA,92121,1986,Subject to Ordinance,,Self-Storage,99999,120000,32.88294,-117.19531
100740,7330 Carroll Rd,"7330 Carroll Rd, BLDG 3",San Diego,San Diego,CA,92121-2363,1989,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Light Manufacturing,66244,66244,32.88612,-117.16447
100742,7350 Princess View Dr,7350 Princess View Dr,San Diego,San Diego,CA,92120,1974,Subject to Ordinance,,Self-Storage Facility,68740,68740,32.80433,-117.07945
100743,7455-7465 Carroll Rd,7455-7465 Carroll Rd,San Diego,San Diego,CA,92121-2303,1973,Subject to Ordinance,,Manufacturing/ Industrial/ Lab,83335,83335,32.88535,-117.1613
100744,Gentry Watts No. 1,7466 Carroll Way,San Diego,San Diego,CA,92126,1976,Subject to Ordinance,,Office,93138,93138,32.88667,-117.16106
100745,302 - 7470 Mission Valley Rd,7470 Mission Valley Rd Bldg C,San Diego,San Diego,CA,92108,1980,Subject to Ordinance,,Office,67346,67872,32.78043,-117.16171
102016,5206 Eastgate Mall,5206 Eastgate Mall,San Diego,San Diego,CA,92121,1984,Subject to Ordinance,,Self-Storage Facility,99999,,32.88324,-117.19512
100747,7480 Miramar Rd,7480 Miramar Rd- Metroplex Bldg B,San Diego,San Diego,CA,92126-4220,1992,Subject to Ordinance,,Strip Mall,113435,97744,32.88438,-117.1538
100748,7515 Britannia Ct,7515 Britannia Ct- Britannia Commerce II-B,San Diego,San Diego,CA,92154-7403,1990,Subject to Ordinance,,Commercial,84825,84825,32.54785,-116.97872
100749,7520 Airway Rd,7520 Airway Rd,San Diego,San Diego,CA,92154-8304,1997,Subject to Ordinance,,Non-Refrigerated Warehouse,78486,78296,32.56195,-116.97818
100750,Rivulis Irrigation,7545 Carroll Rd,San Diego,San Diego,CA,92121-2401,1974,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Manufacturing,86615,86615,32.88469,-117.16009
100751,08209-Kearney - Balboa,7545 Dagget St,San Diego,San Diego,CA,92111,2006,Subject to Ordinance,,Self-Storage Facility,92365,90000,32.82302,-117.15921
100752,7550 Miramar Rd,7550 Miramar Rd,San Diego,San Diego,CA,92126-4217,1980,Subject to Ordinance,,Commercial,99129,99129,32.88432,-117.15406
100753,7577 Airway Rd,7577 Airway Rd- Phase I - Bldg. 4,San Diego,San Diego,CA,92154,2005,Subject to Ordinance,,Commercial,79684,79684,32.55962,-116.97809
100754,7590 Britannia Ct,7590 Britannia Ct- Britannia Commerce I-D,San Diego,San Diego,CA,92154-7403,1988,Subject to Ordinance,,Commercial,71360,71360,32.54945,-116.97612
100755,7594-7596 Trade St,7594-7596 Trade St,San Diego,San Diego,CA,92121-2412,1979,Subject to Ordinance,,Commercial,73467,73467,32.88984,-117.15936
100756,7598 Trade St,7598 Trade St,San Diego,San Diego,CA,92121-2412,1982,Subject to Ordinance,,Commercial,73259,73259,32.89009,-117.15819
100757,7606 Trade St,7606 Trade St,San Diego,San Diego,CA,92121-2468,1979,Subject to Ordinance,,Commercial,85147,85147,32.88959,-117.15708
100758,7615 Siempre Viva Rd,7615 Siempre Viva Rd,San Diego,San Diego,CA,92154,2000,Subject to Ordinance,,Distribution Center,66243,83411,32.55247,-116.97711
100759,332 - 7650 Mission Valley Rd.,7650 Mission Valley Rd,San Diego,San Diego,CA,92108,2002,Subject to Ordinance,,Office,75000,75000,32.77868,-117.15531
100760,7651 Saint Andrews Ave,7651 Saint Andrews Ave,San Diego,San Diego,CA,92154,2007,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Food Processing,73292,73292,32.56535,-116.97716
100761,7655 Clairemont Mesa Blvd,7655 Clairemont Mesa Blvd,San Diego,San Diego,CA,92111-1534,1974,Subject to Ordinance,,Commercial,94500,94500,32.83157,-117.15502
100762,02350 - Palm Promenade 24,770 Dennery Rd,San Diego,San Diego,CA,92154,2000,Subject to Ordinance,,Movie Theater,107250,86610,32.58025,-117.03641
100763,7710 Balboa Ave,7710 Balboa Ave,San Diego,San Diego,CA,92111-2261,1980,Subject to Ordinance,,Office,79924,75615,32.82233,-117.15786
100764,7808 Saint Andrews Ave,7808 Saint Andrews Ave,San Diego,San Diego,CA,92154,2006,Subject to Ordinance,,Refrigerated Warehouse,90925,90925,32.56686,-116.97206
100765,7828 Waterville Rd,7828 Waterville Rd,San Diego,San Diego,CA,92154-8205,1996,Subject to Ordinance,,Commercial,100000,100000,32.56324,-116.97336
100766,7830 Fay Ave,7830 Fay Ave,La Jolla,San Diego,CA,92037-4240,1971,Subject to Ordinance,,Commercial,88950,88950,32.84555,-117.27583
100767,BF3,7850 Waterville Rd,San Diego,San Diego,CA,92154,1999,Subject to Ordinance,,Refrigerated Warehouse,82303,69720,32.56318,-116.97178
100768,7875 Convoy Ct,7875 Convoy Ct,San Diego,San Diego,CA,92111-1223,1980,Subject to Ordinance,,Commercial,66000,66000,32.8341,-117.14966
100769,7878 Airway Rd,7878 Airway Rd,San Diego,San Diego,CA,92154-8305,1997,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,Industrial Warehouse,90000,86917,32.56161,-116.97182
100770,The Headquarters,789 W Harbor Dr,San Diego,San Diego,CA,92101,2013,Subject to Ordinance,,Strip Mall,72793,89876,32.71099,-117.1704
100667,i3 - Block C 4785,4785 executive Dr,San Diego,San Diego,CA,92121,2016,Subject to Ordinance,,Parking,83621,85492,32.8758,-117.20284
100774,27282-San Diego / Clairemont - Mesa,8000 Raytheon Rd,San Diego,San Diego,CA,92111,1999,Subject to Ordinance,,Self-Storage Facility,78625,98495,32.83111,-117.15075
