,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Verified Standard ID - City/Town ID,Property Name,Address 1,City,County,State/Province,Postal Code,Year Built,Applicability,Applicability Details,Property Type ,Property GFA - Calculated (Buildings) (ft²),Estimated GFA (ft²),Latitude,Longitude
100050,SND - San Diego 18 (SND18),11020 Via Frontera,San Diego,San Diego,CA,92127,2007,Subject to Ordinance,,Office,54122,54008,33.01263,-117.09246
100051,Rancho Bernardo Distribution Center,11055 Technology Pl,San Diego,San Diego,CA,92127-1878,1990,Subject to Ordinance,,Distribution Center,58575 ,58575 ,33.00837,-117.09158
100052,11077 N Torrey Pines Rd,11077 N Torrey Pines Rd,La Jolla,San Diego,CA,92121,1981,Not Subject to Ordinance,GFA > 50% lab Manufacturing Industrial,R&D,57237,57237,32.90681,-117.24283
100053,WorldMark San Diego,1110 A St,San Diego,San Diego,CA,92101,1990,Subject to Ordinance,,Hotel,52000,52000,32.71914,-117.15409
100054,1132 Prospect St,1132 Prospect St,La Jolla,San Diego,CA,92037-4533,1926/2018,Subject to Ordinance,,Commercial,50000,50000,32.84856,-117.27371
100055,Bldg 2 - 11501 RB Rd,11501 Rancho Bernardo Rd,San Diego,San Diego,CA,92127-1406,1981,Subject to Ordinance,,Laboratory,52855,52855,33.02381,-117.0845
100056,Torrey Reserve - South CtII,11512 El Camino Real,San Diego,San Diego,CA,92130-2087,1996,Subject to Ordinance,,Office,56663,55315,32.92762,-117.23905
100057,11526 Sorrento Valley Rd,11526 Sorrento Valley Rd,San Diego,San Diego,CA,92121-1346,1976,Subject to Ordinance,,Commercial,57143,57143,32.9112,-117.23168
100058,1155 Coast Blvd,1155 Coast Blvd,La Jolla,San Diego,CA,92037-4199,1959,Subject to Ordinance,,Commercial,50000,50000,32.84954,-117.27335
100059,11605-11681 Duenda Rd,11605-11681 Duenda Rd,San Diego,San Diego,CA,92127-1110,1976/2002,Subject to Ordinance,,Commercial,50328,50328,33.03315,-117.08026
100060,Torrey Reserve - North CtII,11622 El Camino Real,San Diego,San Diego,CA,92130-2049,1996,Subject to Ordinance,,Office,56750,55312,32.92851,-117.23904
100061,San Diego Jewish Academy,11860 Carmel Creek Rd,San Diego,San Diego,CA,92130,2000,Subject to Ordinance,,K-12 School,153000,62511,32.93269,-117.23082
100062,Carmel Valley Centre,11975 El Camino Real 300,San Diego,San Diego,CA,92130-2540,1987,Subject to Ordinance,,Office,54517,56220,32.93696,-117.23808
100063,"02079AS - San Diego, CA",11986 Bernardo Plaza Dr,San Diego,San Diego,CA,92128,2006,Subject to Ordinance,,Supermarket/Grocery Store,60434,60160,33.02102,-117.07211
100064,Realty Income Corporate Office,11995 El Camino Real,San Diego,San Diego,CA,92130-2544,1988,Subject to Ordinance,,Office,55204,56220,32.93755,-117.23676
100639,4201 Camino de la Plaza,4201 Camino de la Plaza,San Diego,San Diego,CA,92173-3046,2001,Subject to Ordinance,,Retail,69819,69819,32.54381,-117.04237
100640,4265 Camino de la Plaza,4211-4265 Camino de la Plaza,San Diego,San Diego,CA,92173-3052,2001,Subject to Ordinance,,Retail,73558,73558,32.54409,-117.04052
100646,4345 Camino de la Plaza,4345 Camino de la Plaza,San Diego,San Diego,CA,92173-3058,2001,Subject to Ordinance,,Retail,65541,65541,32.54407,-117.04005
100509,12790 El Camino Real,12790 El Camino Real,San Diego,San Diego,CA,92130-2008,2004,Subject to Ordinance,,Office,87944,78836,32.94934,-117.23689
100070,12230 World Trade Dr,12230 World Trade Dr,San Diego,San Diego,CA,92128-3798,1989/2016,Subject to Ordinance,,Other,62148,61227,32.98758,-117.07437
100949,12780 El Camino Real,12780 El Camino Real,San Diego,San Diego,CA,92130,2004,Subject to Ordinance,,Mixed Use Property,140591,140591,32.94972,-117.2373
100081,12680 High Bluff,12680 High Bluff Dr,San Diego,San Diego,CA,92130,1985,Subject to Ordinance,,Office,57000,56940,32.9483,-117.24157
100073,12335 World Trade Dr,12335 World Trade Dr,San Diego,San Diego,CA,92128-3716,1996,Subject to Ordinance,,Commercial,55000,55000,32.98675,-117.07047
100075,60077- Sunrise of Sabre Springs,12515 Springhurst Dr,San Diego,San Diego,CA,92128,2018,Subject to Ordinance,,Senior Living Community,70918,,32.94686,-117.07727
100076,"03179AS - San Diego, CA",12475 Rancho Bernardo Rd,San Diego,San Diego,CA,92128,2016,Subject to Ordinance,,Supermarket/Grocery Store,51602,61463,33.0179,-117.06204
100077,"Plaza Del Mar, LLC",12520 High Bluff Dr,San Diego,San Diego,CA,92130,1985,Subject to Ordinance,,Office,121080,58698,32.94496,-117.24161
100079,12626-12636 High Bluff Dr,12626 High Bluff Dr,San Diego,San Diego,CA,92130-2070,1900,Subject to Ordinance,,Office,124006,124006,32.9471,-117.24121
100507,12670 High Bluff,12670 High Bluff Dr,San Diego,San Diego,CA,92130,2013,Subject to Ordinance,,Office,70000,69764,32.94854,-117.24172
100082,Junction at Del Mar 1,12707 High Bluff Dr,San Diego,San Diego,CA,92130-2035,1986,Subject to Ordinance,,Office,59245,58959,32.94938,-117.23919
100083,Highlands Corporate Center (HCC) South Plaza,12730 High Bluff Dr,San Diego,San Diego,CA,92130-2075,1989,Subject to Ordinance,,Office,60618,55572,32.94943,-117.24119
100084,Hawking STEAM Charter School 2,1275 30th St,San Diego,San Diego,CA,92154-3476,2008,Subject to Ordinance,,K-12 School,79328,55000,32.57309,-117.06822
100085,Highlands Corporate Center (HCC) North Plaza,12750 High Bluff Dr,San Diego,San Diego,CA,92130-2083,1989,Subject to Ordinance,,Office,60375,55752,32.94997,-117.24119
100087,Kings Inn San Diego,1333 Hotel Circle South,San Diego,San Diego,CA,92108,1995,Subject to Ordinance,,Hotel,55000,64700,32.75864,-117.17514
100090,6th & A Parking,1350 6th Ave,San Diego,San Diego,CA,92101-4383,1990,Subject to Ordinance,,Parking,60000,60000,32.71938,-117.15958
100091,1410 S 43rd St,1410 S 43rd St,San Diego,San Diego,CA,92113-4105,1996,Subject to Ordinance,,Supermarket,58800,58800,32.69144,-117.1042
100092,178 CARMEL MOUNTAIN,14340 Penasquitos Dr,San Diego,San Diego,CA,92129,2017,Subject to Ordinance,,Retail Store,57726,57580,32.97811,-117.08896
100093,1441-1447 6th Ave,1441-1447 6th Ave,San Diego,San Diego,CA,92101-3204,2018,Subject to Ordinance,,Hotel,63000,63000,32.72038,-117.15903
100094,1490 Air Wing Rd - Whalen Bldg 3,"1490 Air Wing Rd, BLDG 3",San Diego,San Diego,CA,92154,2005,Subject to Ordinance,,Distribution Center,56684,56684,32.57062,-116.95649
100095,1501 Imperial Ave,1501 Imperial Ave,San Diego,San Diego,CA,92101,,Subject to Ordinance,,Rehabilitation Center,63168,63168,32.70604,-117.14992
100096,1508-1544 E St,1508-1544 E St,San Diego,San Diego,CA,92101,1915,Subject to Ordinance,,Warehouse,55000,55000,32.71494,-117.1501
100097,151 YMCA Way,151 YMCA Way,San Diego,San Diego,CA,92102-4698,2017,Subject to Ordinance,,Health Club,65000,65000,32.70514,-117.09742
102358,Aperture Del Mar (Bldg. 2),"6040 Edgewood Bend Ct, BLDG 2",San Diego,San Diego,CA,92129,2022,Subject to Ordinance,,Commercial,106734,106734,32.90433354,
102359,Aperture Del Mar (Bldg. 1),"6040 Edgewood Bend Ct, BLDG 1",San Diego,San Diego,CA,92130,2022,Subject to Ordinance,,Commercial,121928,121928,,
100102,John Hine Mazda,1545 Camino del Rio S,San Diego,San Diego,CA,92108-3522,1966,Subject to Ordinance,,Automobile Dealership,56866,56866,32.76586,-117.14688
100103,1879-San Diego - Frazee Rd,1560 Frazee Rd,San Diego,San Diego,CA,92108,2017,Subject to Ordinance,,Self-Storage Facility,62028,63000,32.77558,-117.16068
100104,Mosaic,15822 Bernardo Center Dr,San Diego,San Diego,CA,92127-2362,1985/2018,Subject to Ordinance,,Office,77820,60344,33.00605,-117.09193
100105,Miramar Truck Body and Equipment,1595 Radar Rd,San Diego,San Diego,CA,92154-7814,2000,Subject to Ordinance,,Warehouse,53685,53685,32.56897,-116.95991
100106,16 15th St,16 15th St,San Diego,San Diego,CA,92101-7538,1940,Subject to Ordinance,,Shelter,54351,54351,32.70552,-117.15079
100107,1601 Precision Park Ln,1601 Precision Park Ln,San Diego,San Diego,CA,92173-1345,1980,Subject to Ordinance,,Manufacturing,61502,61502,32.56708,-117.05876
100108,"Mission Imprintables, Inc.",1604 Cactus Rd,San Diego,San Diego,CA,92154,2018,Subject to Ordinance,,Distribution Center,58360,60800,32.56765,-116.989
100110,16262 W Bernardo Dr,16262 W Bernardo Dr,San Diego,San Diego,CA,92127-1879,1984,Subject to Ordinance,,Office,54766,54964,33.01131,-117.09211
