OID_,OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
614,406370037.000000000000000,,ANCHOR HOSPICE & PALLIATIVE CARE,550006031.000000000000000,Hospice,5675 RUFFIN RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,1/18/2025 0:00:00,Home Health Agency/Hospice,Hospice,32.837439799999999,-117.126153599999995
615,406370038.000000000000000,,"PACIFIC POINT HCS, INC.",550000908.000000000000000,Home Health Agency,7950 SILVERTON AVE,SAN DIEGO,92126.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,2/27/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.891383900000001,-117.150050699999994
616,406370039.000000000000000,,HEALTH FIX HOME HEALTH,550009815.000000000000000,Home Health Agency,2400 FENTON ST,CHULA VISTA,91914.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,4/26/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.652134099999998,-116.960868300000001
617,406370040.000000000000000,,COMFORT AND THRIVE HOME HEALTH,550003192.000000000000000,Home Health Agency,3934 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,7/16/2024 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.816168500000003,-117.117999400000002
618,406370041.000000000000000,,ARC HEALTH SYSTEMS LLC,550009516.000000000000000,Home Health Agency,10801 THORNMINT RD,SAN DIEGO,92127.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,5/11/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.016550100000003,-117.101439400000004
619,406370042.000000000000000,,3H HEALTH CARE SERVICES INC.,550009876.000000000000000,Home Health Agency,333 H ST,CHULA VISTA,91910.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,7/1/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.634354000000002,-117.078442899999999
620,406370043.000000000000000,,COMFORCARE HOME CARE (NORTH SAN DIEGO),550009873.000000000000000,Home Health Agency,16959 BERNARDO CENTER DR,SAN DIEGO,92128.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,5/28/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.022058899999998,-117.073983799999993
621,406370044.000000000000000,,ALPINA HOME HEALTH CARE INC,550009828.000000000000000,Home Health Agency,3645 RUFFIN RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,3/11/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.810087799999998,-117.119026899999994
622,406370045.000000000000000,,ELG HOME HEALTH CARE,550009931.000000000000000,Home Health Agency,5414 OBERLIN DR,SAN DIEGO,92121.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,7/1/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.891940699999999,-117.200959900000001
623,406370650.000000000000000,,UCSD HOME INFUSION PHARMACY,80000011.000000000000000,Home Health Agency,9610 RIDGEHAVEN CT,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,3/7/2011 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.821235000000001,-117.121833400000000
