objectid,site_code,common_nm,managing_dept,location,cmty_plan,desg_use,site_acres,dedicated_park,pud_branch,site_restriction,reso_ord_num,reso_ord_dt,globalid,shape_Length,shape_Area
875,Q643GM,QUINTANA SETTLEMENT,Stormwater,4078 51ST STREET,City Heights,DRAIN,1.080000000000000,N,,NONE,R-286121,07/18/1995,{636FC509-3B1D-41F2-9C62-FD091CD2583E},900.920066910239825,47686.964498780289432
876,Q403RO,MISSION HILLS OPEN SPACE PARK,Parks & Recreation,TITUS & TORRENCE,Uptown,OSDED,6.097000000000000,Y,,DEDOS,O-12039,03/16/1977,{AB88F27A-FBDB-4E0E-AF2A-B78D68179ED8},5224.091083734507265,206173.328743708523689
877,S592RD,MOUNTAIN VIEW PARK,Parks & Recreation,40TH & FRANKLIN,Southeastern San Diego,NPARK,0.093000000000000,Y,,DEDOS,O-5827,09/24/1914,{8C9C63BF-102F-4096-A4D4-E445125D1355},943.037900054194097,14792.767386338353390
878,N601FS,FIRE STATION #39,Fire-Rescue,4949 LA CUENTA DR,Tierrasanta,FIRESTAT,0.620000000000000,N,,UNK,R-203426,08/12/1971,{39414C55-671E-4267-99C4-6DC25C4FEB91},636.143041079125851,24403.358223441093287
879,Z804RU,OTAY MESA OPEN SPACE,Parks & Recreation,DILLONS TRAIL SLY OTAY MESA RD,Otay Mesa,OSDESG,10.010000000000000,N,,SFR,R-250320,10/01/1979,{9C766F1A-0329-461C-8A0F-6594079355B1},8353.471896919039864,593997.712789914687164
880,S568RD,J ST MINI-PARK,Parks & Recreation,J ST WLY 33RD ST,Southeastern San Diego,MPARK,0.215000000000000,Y,,DEDOS,O-15725,04/05/1982,{0C9C9F6F-6D4D-404C-AB08-4B8191C32B7A},402.027565403120434,9572.360675355224885
881,I709RS,Sycamore Canyon Park,Parks & Recreation,"Stonebridge Pkwy south of, Stockwood Cove, east of",Rancho Encantada,NPARK,8.539999999999999,N,,NONE,R-305404,11/19/2009,{203C1008-B03B-41E0-BD66-0C4540819C28},2470.626987678251226,372145.147687761986163
882,S634LB,VALENCIA PK/MALCOLM X BRANCH LIBRARY,Library,5148 MARKET ST.,Encanto,LIB,5.970000000000000,N,,SFR,R-278105,06/11/1991,{63E25DF1-1618-4187-8F52-7FD34EB6DB4F},2443.596360988821743,264706.518208314490039
883,M612RU,TIERRASANTA OPEN SPACE,Parks & Recreation,NELY VIA VIARTA WLY BELARDO,Tierrasanta,OSDESG,7.262000000000000,N,,NONE,R-271822,09/12/1988,{D26ACCBB-4996-4070-BA93-C7D137E7BB85},4762.061778365209648,330423.816665675374679
884,O405RD,EAST CLAIREMONT ATH AREA,Parks & Recreation,MT ACADIA BLVD & MT ABBEY,Clairemont Mesa,NPARK,8.702000000000000,Y,,DEDOS,O-15690,04/05/1982,{D0536AF7-EBE5-42E5-99BA-7D24A573F294},2732.150490490135326,379640.599673900229391
