ein,strein,name,sub_name,city,state,ntee_code,subseccd,score,search_query,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
821521195,82-1521195,San Diego Malayalees,San Diego Malayalees,San Diego,CA,A23,3,94.59418,san diego,San Diego,CA,92127-3707,3,2020.0,5205.0,21434.0,24725.0,
260320121,26-0320121,San Diego Renegades,San Diego Renegades,San Diego,CA,N63,3,94.59418,san diego,San Diego,CA,92131-2924,3,,,,,
923536947,92-3536947,San Diego Sirens,San Diego Sirens,San Diego,CA,N03,3,94.59418,san diego,San Diego,CA,92105-4652,3,,,,,
852188456,85-2188456,San Diego Taiko,San Diego Taiko,San Diego,CA,A20,3,94.59418,san diego,San Diego,CA,92117-5504,3,,,,,
992976517,99-2976517,San Diego Ultimate,San Diego Ultimate,San Diego,CA,O50,3,94.59418,san diego,San Diego,CA,92111-2510,3,,,,,
813610031,81-3610031,Collective San Diego,Collective San Diego,San Diego,CA,X20,3,94.59418,san diego,San Diego,CA,92193-1208,3,,,,,
463138369,46-3138369,Flourish San Diego,Flourish San Diego,San Diego,CA,X21,3,94.59418,san diego,San Diego,CA,92150-8042,3,,,,,
994931393,99-4931393,Horizons San Diego,Horizons San Diego,San Diego,CA,P30,3,94.59418,san diego,San Diego,CA,92103-1398,3,,,,,
332129675,33-2129675,Impact San Diego,Impact San Diego,San Diego,CA,X20,3,94.59418,san diego,San Diego,CA,92154-4709,3,,,,,
812687372,81-2687372,Juventus San Diego,Juventus San Diego,San Diego,CA,N60,3,94.59418,san diego,San Diego,CA,92126-4720,3,2017.0,59000.0,55297.0,3703.0,
332393540,33-2393540,Represent San Diego,Represent San Diego,San Diego,CA,R40,3,94.59418,san diego,San Diego,CA,92122-3904,3,,,,,
394994690,39-4994690,San Diego Boardriders,San Diego Boardriders,San Diego,CA,N67,3,94.59418,san diego,San Diego,CA,92110-4008,3,,,,,
814828007,81-4828007,San Diego Mompreneurs,San Diego Mompreneurs,San Diego,CA,,3,94.59418,san diego,San Diego,CA,92108-1661,3,,,,,
274607880,27-4607880,San Diego Newsroom,San Diego Newsroom,San Diego,CA,B990,3,94.64624,san diego,San Diego,CA,92101-8576,3,,,,,
394935248,39-4935248,San Diego Owls,San Diego Owls,San Diego,CA,N12,3,94.64624,san diego,San Diego,CA,92103-5534,3,,,,,
205305449,20-5305449,San Diego Enforcers Inc,San Diego Enforcers Inc San Diego Enforcers,San Diego,CA,N65,3,90.16784,san diego,San Diego,CA,92104-4247,3,2022.0,70407.0,58755.0,45711.0,
201883660,20-1883660,Flood San Diego,Flood San Diego Flood Church,San Diego,CA,X21,3,90.035255,san diego,San Diego,CA,92120-4305,3,,,,,
330929350,33-0929350,Altus Schools San Diego,Altus Schools San Diego Charter School Of San Diego,San Diego,CA,B29,3,87.48994,san diego,San Diego,CA,92121-2964,3,2023.0,33467839.0,34628471.0,58889593.0,
852909852,85-2909852,Table San Diego,Table San Diego David Tran Sole Mbr,San Diego,CA,X20,3,86.71012,san diego,San Diego,CA,92114-1623,3,,,,,
952544535,95-2544535,University Of San Diego,University Of San Diego,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92110-8001,3,2023.0,554548971.0,563765452.0,1767903401.0,
952942582,95-2942582,The San Diego Foundation,The San Diego Foundation,San Diego,CA,T310,3,86.670235,san diego,San Diego,CA,92106-6138,3,2023.0,268696192.0,159687256.0,1449190327.0,
951696732,95-1696732,San Diego Blood Bank,San Diego Blood Bank,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92102-4508,3,2023.0,52941207.0,55018927.0,41102452.0,
952700856,95-2700856,San Diego Family Care,San Diego Family Care,San Diego,CA,E20Z,3,86.670235,san diego,San Diego,CA,92111-6342,3,2024.0,34223206.0,33529840.0,23115641.0,
953072188,95-3072188,San Diego Comic Convention,San Diego Comic Convention,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92117-3600,3,2023.0,34082632.0,29060270.0,44075481.0,
952648050,95-2648050,San Diego Youth Services,San Diego Youth Services,San Diego,CA,P300,3,86.670235,san diego,San Diego,CA,92110-4638,3,2023.0,22519823.0,23159603.0,12437674.0,
953287745,95-3287745,San Diego Jewish Academy,San Diego Jewish Academy,San Diego,CA,B200,3,86.670235,san diego,San Diego,CA,92130-2474,3,2023.0,27139045.0,28072500.0,63557550.0,
272938491,27-2938491,Mission Edge San Diego,Mission Edge San Diego,San Diego,CA,P02,3,86.670235,san diego,San Diego,CA,92106-6146,3,2023.0,9968292.0,11951930.0,6651643.0,
141886373,14-1886373,San Diego Theatres Inc,San Diego Theatres Inc,San Diego,CA,A65,3,86.670235,san diego,San Diego,CA,92101-5010,3,2024.0,14954198.0,11601289.0,24988487.0,
452609877,45-2609877,San Diego Virtual School,San Diego Virtual School,San Diego,CA,B29,3,86.670235,san diego,San Diego,CA,92101-3359,3,2023.0,5940102.0,5699029.0,4381408.0,
956095644,95-6095644,Youth Tennis San Diego,Youth Tennis San Diego,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92107-1006,3,2023.0,6090932.0,3785083.0,8257442.0,
956044429,95-6044429,San Diego Opera Association,San Diego Opera Association,San Diego,CA,A6A0,3,86.670235,san diego,San Diego,CA,92101-4095,3,2023.0,7236335.0,11104070.0,13243536.0,
141858753,14-1858753,San Diego Symphony Foundation,San Diego Symphony Foundation,San Diego,CA,A69,3,86.670235,san diego,San Diego,CA,92101-4302,3,2023.0,4337118.0,6548928.0,110066866.0,
956089611,95-6089611,San Diego Eye Bank,San Diego Eye Bank,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92123-4446,3,2023.0,6968186.0,6498105.0,5754152.0,
330823218,33-0823218,San Diego Volleyball Club,San Diego Volleyball Club,San Diego,CA,N60,3,86.670235,san diego,San Diego,CA,92127-2428,3,2023.0,3493588.0,2833266.0,2027863.0,
330022489,33-0022489,San Diego Soccer Club,San Diego Soccer Club,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92127-1400,3,2023.0,3006081.0,2927702.0,1084676.0,
330785173,33-0785173,San Diego Police Foundation,San Diego Police Foundation,San Diego,CA,I12,3,86.670235,san diego,San Diego,CA,92101-8550,3,2023.0,1631761.0,1461543.0,1871691.0,
952157559,95-2157559,Pathfinders Of San Diego,Pathfinders Of San Diego,San Diego,CA,G82Z,3,86.670235,san diego,San Diego,CA,92104-2809,3,2023.0,2398526.0,2975537.0,5013727.0,
262237918,26-2237918,San Diego Canyonlands Inc,San Diego Canyonlands Inc,San Diego,CA,C013,3,86.670235,san diego,San Diego,CA,92105-5455,3,2023.0,1888243.0,1971255.0,1004346.0,
237380943,23-7380943,San Diego Youth Symphony,San Diego Youth Symphony,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92101-1684,3,2023.0,2432524.0,2696817.0,3919879.0,
